Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/datesr,1591,1591,0,"100,00"
/datesr/.settings,5,5,0,"100,00"
/datesr/pfaa,52,52,0,"100,00"
/datesr/pfaa/CoolReader,424,424,0,"100,00"
/datesr/pfaa/CoolReader/android,512,512,0,"100,00"
/datesr/pfaa/CoolReader/android/jni,2964,2964,0,"100,00"
/datesr/pfaa/CoolReader/android/res/drawable,2927,2927,0,"100,00"
/datesr/pfaa/CoolReader/android/res/layout,1058,1058,0,"100,00"
/datesr/pfaa/CoolReader/android/res/menu,52,52,0,"100,00"
/datesr/pfaa/CoolReader/android/res/raw,993,993,0,"100,00"
/datesr/pfaa/CoolReader/android/res/values,216,216,0,"100,00"
/datesr/pfaa/CoolReader/android/res/values-ru,151,151,0,"100,00"
/datesr/pfaa/CoolReader/android/res/values-uk,151,151,0,"100,00"
/datesr/pfaa/CoolReader/android/src/org/coolreader,1173,1173,0,"100,00"
/datesr/pfaa/CoolReader/android/src/org/coolreader/crengine,10182,10182,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui,701,701,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/data,1090,1090,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/data/desktop,47,47,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/data/devices/n516/keymaps,571,571,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/data/devices/n516/skins/default,860,860,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/data/devices/v3/keymaps,543,543,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/data/devices/v3/skins/classic,709,709,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/data/devices/v3/skins/default,879,879,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/data/devices/v3/skins/white,560,560,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/data/devices/v3a/keymaps,533,533,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/data/devices/v3a/skins/default,879,879,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/data/devices/v5/keymaps,536,536,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/data/devices/v5/skins/default,879,879,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/data/hyph,655,655,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/data/manual,442,442,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/po,10288,10288,0,"100,00"
/datesr/pfaa/CoolReader/cr3gui/src,12542,12542,0,"100,00"
/datesr/pfaa/CoolReader/cr3qt,164,164,0,"100,00"
/datesr/pfaa/CoolReader/cr3qt/data,665,665,0,"100,00"
/datesr/pfaa/CoolReader/cr3qt/data/docs,43,43,0,"100,00"
/datesr/pfaa/CoolReader/cr3qt/data/hyph,655,655,0,"100,00"
/datesr/pfaa/CoolReader/cr3qt/data/skins/default,39,39,0,"100,00"
/datesr/pfaa/CoolReader/cr3qt/src,7461,7461,0,"100,00"
/datesr/pfaa/CoolReader/cr3qt/src/desktop,293,293,0,"100,00"
/datesr/pfaa/CoolReader/cr3qt/src/i18n,7853,7853,0,"100,00"
/datesr/pfaa/CoolReader/cr3qt/src/icons,456,456,0,"100,00"
/datesr/pfaa/CoolReader/cr3qt/src/qtc-gdbmacros,3562,3562,0,"100,00"
/datesr/pfaa/CoolReader/cr3wx,888,888,0,"100,00"
/datesr/pfaa/CoolReader/cr3wx/macros,6,6,0,"100,00"
/datesr/pfaa/CoolReader/cr3wx/src,5470,5470,0,"100,00"
/datesr/pfaa/CoolReader/cr3wx/src/resources,5678,5678,0,"100,00"
/datesr/pfaa/CoolReader/cr3wx/templates,38,38,0,"100,00"
/datesr/pfaa/CoolReader/crengine,530,530,0,"100,00"
/datesr/pfaa/CoolReader/crengine/Tools/Fb2Linux,1777,1777,0,"100,00"
/datesr/pfaa/CoolReader/crengine/Tools/Fb2Test,2080,2080,0,"100,00"
/datesr/pfaa/CoolReader/crengine/Tools/FontConv,2256,2256,0,"100,00"
/datesr/pfaa/CoolReader/crengine/Tools/FontConv/res,14,14,0,"100,00"
/datesr/pfaa/CoolReader/crengine/Tools/langstat,686,686,0,"100,00"
/datesr/pfaa/CoolReader/crengine/docs,360,360,0,"100,00"
/datesr/pfaa/CoolReader/crengine/doxygen,1237,1237,0,"100,00"
/datesr/pfaa/CoolReader/crengine/include,14592,14592,0,"100,00"
/datesr/pfaa/CoolReader/crengine/lib/projects/codeblocks,2320,2320,0,"100,00"
/datesr/pfaa/CoolReader/crengine/lib/projects/vc2008,2163,2163,0,"100,00"
/datesr/pfaa/CoolReader/crengine/lib/projects/vc6,695,695,0,"100,00"
/datesr/pfaa/CoolReader/crengine/src,53336,53336,0,"100,00"
/datesr/pfaa/CoolReader/fb2props,299,299,0,"100,00"
/datesr/pfaa/CoolReader/packages/openinkpot/debian,827,827,0,"100,00"
/datesr/pfaa/CoolReader/packages/ubuntu/debian,106,106,0,"100,00"
/datesr/pfaa/CoolReader/packages/ubuntu/debian/source,1,1,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/antiword,36087,36087,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/antiword/Docs,1815,1815,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/antiword/Resources,9521,9521,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/antiword/Unix-only,2458,2458,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/antiword/Unix-only/KDE1-only,344,344,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/antiword/Unix-only/KDE3-only,135,135,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/antiword/Unix-only/RPM-only,49,49,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/antiword/Win32-only,979,979,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/chmlib,38253,38253,0,"100,00"
