"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","pfaa/CoolReader/android/res/menu/cr3_browser_menu.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"2","","pfaa/CoolReader/android/res/menu/cr3_reader_menu.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"3","","pfaa/CoolReader/android/res/values/styles.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"4","","pfaa/focalboard/experiments/webext/src/views/options.html","3","8","UnnecessaryTypeAttribute: Type attribute for link and script elements is not needed.","Best Practices","UnnecessaryTypeAttribute"
"5","","pfaa/focalboard/experiments/webext/src/views/popup.html","3","8","UnnecessaryTypeAttribute: Type attribute for link and script elements is not needed.","Best Practices","UnnecessaryTypeAttribute"
"6","","pfaa/focalboard/import/jira/test/jira-export.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"7","","pfaa/focalboard/linux/webapp/cypress/plugins/index.js","1","23","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"8","","pfaa/focalboard/linux/webapp/webpack.common.js","1","12","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"9","","pfaa/focalboard/linux/webapp/webpack.common.js","1","15","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"10","","pfaa/focalboard/linux/webapp/webpack.common.js","1","19","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"11","","pfaa/focalboard/linux/webapp/webpack.common.js","1","20","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"12","","pfaa/focalboard/linux/webapp/webpack.common.js","1","21","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"13","","pfaa/focalboard/linux/webapp/webpack.common.js","1","23","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"14","","pfaa/focalboard/linux/webapp/webpack.common.js","1","27","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"15","","pfaa/focalboard/linux/webapp/webpack.common.js","1","29","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"16","","pfaa/focalboard/linux/webapp/webpack.common.js","1","31","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"17","","pfaa/focalboard/linux/webapp/webpack.common.js","1","32","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"18","","pfaa/focalboard/linux/webapp/webpack.common.js","1","33","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"19","","pfaa/focalboard/linux/webapp/webpack.common.js","1","34","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"20","","pfaa/focalboard/linux/webapp/webpack.common.js","1","45","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"21","","pfaa/focalboard/linux/webapp/webpack.common.js","1","49","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"22","","pfaa/focalboard/linux/webapp/webpack.common.js","1","51","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"23","","pfaa/focalboard/linux/webapp/webpack.common.js","1","57","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"24","","pfaa/focalboard/linux/webapp/webpack.common.js","1","59","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"25","","pfaa/focalboard/linux/webapp/webpack.common.js","1","64","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"26","","pfaa/focalboard/linux/webapp/webpack.common.js","1","70","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"27","","pfaa/focalboard/linux/webapp/webpack.common.js","1","73","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"28","","pfaa/focalboard/linux/webapp/webpack.common.js","1","79","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"29","","pfaa/focalboard/linux/webapp/webpack.common.js","1","80","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"30","","pfaa/focalboard/linux/webapp/webpack.common.js","1","87","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"31","","pfaa/focalboard/linux/webapp/webpack.common.js","1","88","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"32","","pfaa/focalboard/linux/webapp/webpack.common.js","1","89","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"33","","pfaa/focalboard/linux/webapp/webpack.common.js","1","93","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"34","","pfaa/focalboard/linux/webapp/webpack.common.js","1","104","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"35","","pfaa/focalboard/linux/webapp/webpack.common.js","1","114","GlobalVariable: Avoid using global variables","Best Practices","GlobalVariable"
"36","","pfaa/focalboard/linux/webapp/webpack.dev.js","1","9","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"37","","pfaa/focalboard/linux/webapp/webpack.dev.js","1","12","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"38","","pfaa/focalboard/linux/webapp/webpack.dev.js","1","17","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"39","","pfaa/focalboard/linux/webapp/webpack.dev.js","1","18","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"40","","pfaa/focalboard/linux/webapp/webpack.dev.js","1","20","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"41","","pfaa/focalboard/linux/webapp/webpack.editor.js","1","12","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"42","","pfaa/focalboard/linux/webapp/webpack.editor.js","1","15","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"43","","pfaa/focalboard/linux/webapp/webpack.editor.js","1","18","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"44","","pfaa/focalboard/linux/webapp/webpack.editor.js","1","23","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"45","","pfaa/focalboard/linux/webapp/webpack.editor.js","1","24","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"46","","pfaa/focalboard/linux/webapp/webpack.editor.js","1","25","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"47","","pfaa/focalboard/linux/webapp/webpack.editor.js","1","29","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"48","","pfaa/focalboard/linux/webapp/webpack.editor.js","1","41","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"49","","pfaa/focalboard/linux/webapp/webpack.editor.js","1","42","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"50","","pfaa/focalboard/linux/webapp/webpack.editor.js","1","44","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"51","","pfaa/focalboard/linux/webapp/webpack.prod.js","1","10","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"52","","pfaa/focalboard/linux/webapp/webpack.prod.js","1","12","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"53","","pfaa/focalboard/linux/webapp/webpack.prod.js","1","18","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"54","","pfaa/focalboard/mac/Focalboard/AppDelegate.swift","2","41","ProhibitedInterfaceBuilder: Creating views using Interface Builder should be avoided.","Best Practices","ProhibitedInterfaceBuilder"
"55","","pfaa/focalboard/mac/Focalboard/AppDelegate.swift","3","43","ForceCast: Force casts should be avoided.","Error Prone","ForceCast"
"56","","pfaa/focalboard/mac/Focalboard/AppDelegate.swift","2","54","ProhibitedInterfaceBuilder: Creating views using Interface Builder should be avoided.","Best Practices","ProhibitedInterfaceBuilder"
"57","","pfaa/focalboard/mac/Focalboard/AppDelegate.swift","3","60","ForceCast: Force casts should be avoided.","Error Prone","ForceCast"
"58","","pfaa/focalboard/mac/Focalboard/AppDelegate.swift","2","69","ProhibitedInterfaceBuilder: Creating views using Interface Builder should be avoided.","Best Practices","ProhibitedInterfaceBuilder"
"59","","pfaa/focalboard/mattermost-plugin/webapp/babel.config.js","1","4","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"60","","pfaa/focalboard/mattermost-plugin/webapp/babel.config.js","1","5","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"61","","pfaa/focalboard/mattermost-plugin/webapp/babel.config.js","1","6","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"62","","pfaa/focalboard/mattermost-plugin/webapp/babel.config.js","1","7","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"63","","pfaa/focalboard/mattermost-plugin/webapp/babel.config.js","1","19","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"64","","pfaa/focalboard/mattermost-plugin/webapp/babel.config.js","1","22","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"65","","pfaa/focalboard/mattermost-plugin/webapp/babel.config.js","1","27","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"66","","pfaa/focalboard/mattermost-plugin/webapp/babel.config.js","1","37","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"67","","pfaa/focalboard/mattermost-plugin/webapp/babel.config.js","1","38","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"68","","pfaa/focalboard/mattermost-plugin/webapp/babel.config.js","1","45","GlobalVariable: Avoid using global variables","Best Practices","GlobalVariable"
"69","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","21","GlobalVariable: Avoid using global variables","Best Practices","GlobalVariable"
"70","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","22","GlobalVariable: Avoid using global variables","Best Practices","GlobalVariable"
"71","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","24","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"72","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","31","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"73","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","40","GlobalVariable: Avoid using global variables","Best Practices","GlobalVariable"
"74","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","55","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"75","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","57","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"76","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","58","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"77","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","63","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"78","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","68","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"79","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","69","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
